State,Currency,Year,Median Income/Standard Error,USD$
United States,CURRENT DOLLARS,2004,"Median
income",44334
United States,CURRENT DOLLARS,2004,"Standard
error",196
United States,CURRENT DOLLARS,2009 ,"Median
income",49777
United States,CURRENT DOLLARS,2009 ,"Standard
error",213
United States,CURRENT DOLLARS,2010 ,"Median
income",49276
United States,CURRENT DOLLARS,2010 ,"Standard
error",325
United States,CURRENT DOLLARS,2013 ,"Median
income",51939
United States,CURRENT DOLLARS,2013 ,"Standard
error",276
United States,CURRENT DOLLARS,2013 ,"Median
income",53585
United States,CURRENT DOLLARS,2013 ,"Standard
error",654
Alabama,CURRENT DOLLARS,1986,"Median
income",19132
Alabama,CURRENT DOLLARS,1986,"Standard
error",885
Alabama,CURRENT DOLLARS,1988,"Median
income",19948
Alabama,CURRENT DOLLARS,1988,"Standard
error",912
Alabama,CURRENT DOLLARS,1989,"Median
income",21284
Alabama,CURRENT DOLLARS,1989,"Standard
error",1070
Alabama,CURRENT DOLLARS,1990,"Median
income",23357
Alabama,CURRENT DOLLARS,1990,"Standard
error",1037
Alabama,CURRENT DOLLARS,1991,"Median
income",24346
Alabama,CURRENT DOLLARS,1991,"Standard
error",1068
Alabama,CURRENT DOLLARS,1996,"Median
income",30302
Alabama,CURRENT DOLLARS,1996,"Standard
error",1258
Alabama,CURRENT DOLLARS,1997,"Median
income",31939
Alabama,CURRENT DOLLARS,1997,"Standard
error",1607
Alabama,CURRENT DOLLARS,1998,"Median
income",36266
Alabama,CURRENT DOLLARS,1998,"Standard
error",1307
Alabama,CURRENT DOLLARS,2001,"Median
income",35160
Alabama,CURRENT DOLLARS,2001,"Standard
error",1006
Alabama,CURRENT DOLLARS,2002,"Median
income",37603
Alabama,CURRENT DOLLARS,2002,"Standard
error",1062
Alabama,CURRENT DOLLARS,2003,"Median
income",37255
Alabama,CURRENT DOLLARS,2003,"Standard
error",1580
Alabama,CURRENT DOLLARS,2005,"Median
income",37150
Alabama,CURRENT DOLLARS,2005,"Standard
error",1215
Alabama,CURRENT DOLLARS,2006,"Median
income",37952
Alabama,CURRENT DOLLARS,2006,"Standard
error",1014
Alabama,CURRENT DOLLARS,2007,"Median
income",42212
Alabama,CURRENT DOLLARS,2007,"Standard
error",1420
Alabama,CURRENT DOLLARS,2008,"Median
income",44476
Alabama,CURRENT DOLLARS,2008,"Standard
error",1659
Alabama,CURRENT DOLLARS,2011,"Median
income",42590
Alabama,CURRENT DOLLARS,2011,"Standard
error",2021
Alabama,CURRENT DOLLARS,2012,"Median
income",43464
Alabama,CURRENT DOLLARS,2012,"Standard
error",2529
Alabama,CURRENT DOLLARS,2014,"Median
income",42278
Alabama,CURRENT DOLLARS,2014,"Standard
error",1529
Alabama,CURRENT DOLLARS,2015,"Median
income",44509
Alabama,CURRENT DOLLARS,2015,"Standard
error",3419
Alabama,CURRENT DOLLARS,2016,"Median
income",47221
Alabama,CURRENT DOLLARS,2016,"Standard
error",2301
Alabama,CURRENT DOLLARS,2017,"Median
income",51113
Alabama,CURRENT DOLLARS,2017,"Standard
error",845
Alabama,CURRENT DOLLARS,1984 ,"Median
income",17310
Alabama,CURRENT DOLLARS,1984 ,"Standard
error",605
Alabama,CURRENT DOLLARS,1985 ,"Median
income",18333
Alabama,CURRENT DOLLARS,1985 ,"Standard
error",760
Alabama,CURRENT DOLLARS,1987 ,"Median
income",19734
Alabama,CURRENT DOLLARS,1987 ,"Standard
error",1147
Alabama,CURRENT DOLLARS,1992 ,"Median
income",25808
Alabama,CURRENT DOLLARS,1992 ,"Standard
error",1058
Alabama,CURRENT DOLLARS,1993 ,"Median
income",25082
Alabama,CURRENT DOLLARS,1993 ,"Standard
error",1088
Alabama,CURRENT DOLLARS,1994 ,"Median
income",27196
Alabama,CURRENT DOLLARS,1994 ,"Standard
error",1559
Alabama,CURRENT DOLLARS,1995 ,"Median
income",25991
Alabama,CURRENT DOLLARS,1995 ,"Standard
error",1266
Alabama,CURRENT DOLLARS,1999 ,"Median
income",36251
Alabama,CURRENT DOLLARS,1999 ,"Standard
error",1189
Alabama,CURRENT DOLLARS,2000 ,"Median
income",35424
Alabama,CURRENT DOLLARS,2000 ,"Standard
error",1072
Alabama,CURRENT DOLLARS,2004,"Median
income",36629
Alabama,CURRENT DOLLARS,2004,"Standard
error",1303
Alabama,CURRENT DOLLARS,2009 ,"Median
income",39980
Alabama,CURRENT DOLLARS,2009 ,"Standard
error",904
Alabama,CURRENT DOLLARS,2010 ,"Median
income",40933
Alabama,CURRENT DOLLARS,2010 ,"Standard
error",2396
Alabama,CURRENT DOLLARS,2013 ,"Median
income",41381
Alabama,CURRENT DOLLARS,2013 ,"Standard
error",2315
Alabama,CURRENT DOLLARS,2013 ,"Median
income",47320
Alabama,CURRENT DOLLARS,2013 ,"Standard
error",5511
Alaska,CURRENT DOLLARS,1986,"Median
income",31356
Alaska,CURRENT DOLLARS,1986,"Standard
error",1017
Alaska,CURRENT DOLLARS,1988,"Median
income",33103
Alaska,CURRENT DOLLARS,1988,"Standard
error",1183
Alaska,CURRENT DOLLARS,1989,"Median
income",36006
Alaska,CURRENT DOLLARS,1989,"Standard
error",1378
Alaska,CURRENT DOLLARS,1990,"Median
income",39298
Alaska,CURRENT DOLLARS,1990,"Standard
error",1627
Alaska,CURRENT DOLLARS,1991,"Median
income",40612
Alaska,CURRENT DOLLARS,1991,"Standard
error",1822
Alaska,CURRENT DOLLARS,1996,"Median
income",52779
Alaska,CURRENT DOLLARS,1996,"Standard
error",1907
Alaska,CURRENT DOLLARS,1997,"Median
income",47994
Alaska,CURRENT DOLLARS,1997,"Standard
error",1258
Alaska,CURRENT DOLLARS,1998,"Median
income",50692
Alaska,CURRENT DOLLARS,1998,"Standard
error",2124
Alaska,CURRENT DOLLARS,2001,"Median
income",57363
Alaska,CURRENT DOLLARS,2001,"Standard
error",2012
Alaska,CURRENT DOLLARS,2002,"Median
income",52774
Alaska,CURRENT DOLLARS,2002,"Standard
error",1073
Alaska,CURRENT DOLLARS,2003,"Median
income",51837
Alaska,CURRENT DOLLARS,2003,"Standard
error",981
Alaska,CURRENT DOLLARS,2005,"Median
income",55891
Alaska,CURRENT DOLLARS,2005,"Standard
error",1331
Alaska,CURRENT DOLLARS,2006,"Median
income",56418
Alaska,CURRENT DOLLARS,2006,"Standard
error",1495
Alaska,CURRENT DOLLARS,2007,"Median
income",62993
Alaska,CURRENT DOLLARS,2007,"Standard
error",1583
Alaska,CURRENT DOLLARS,2008,"Median
income",63989
Alaska,CURRENT DOLLARS,2008,"Standard
error",2302
Alaska,CURRENT DOLLARS,2011,"Median
income",57431
Alaska,CURRENT DOLLARS,2011,"Standard
error",3710
Alaska,CURRENT DOLLARS,2012,"Median
income",63648
Alaska,CURRENT DOLLARS,2012,"Standard
error",2839
Alaska,CURRENT DOLLARS,2014,"Median
income",67629
Alaska,CURRENT DOLLARS,2014,"Standard
error",3153
Alaska,CURRENT DOLLARS,2015,"Median
income",75112
Alaska,CURRENT DOLLARS,2015,"Standard
error",3485
Alaska,CURRENT DOLLARS,2016,"Median
income",75723
Alaska,CURRENT DOLLARS,2016,"Standard
error",4086
Alaska,CURRENT DOLLARS,2017,"Median
income",72231
Alaska,CURRENT DOLLARS,2017,"Standard
error",2719
Alaska,CURRENT DOLLARS,1984 ,"Median
income",32356
Alaska,CURRENT DOLLARS,1984 ,"Standard
error",1473
Alaska,CURRENT DOLLARS,1985 ,"Median
income",34782
Alaska,CURRENT DOLLARS,1985 ,"Standard
error",1089
Alaska,CURRENT DOLLARS,1987 ,"Median
income",33233
Alaska,CURRENT DOLLARS,1987 ,"Standard
error",1497
Alaska,CURRENT DOLLARS,1992 ,"Median
income",41802
Alaska,CURRENT DOLLARS,1992 ,"Standard
error",1156
Alaska,CURRENT DOLLARS,1993 ,"Median
income",42931
Alaska,CURRENT DOLLARS,1993 ,"Standard
error",1643
Alaska,CURRENT DOLLARS,1994 ,"Median
income",45367
Alaska,CURRENT DOLLARS,1994 ,"Standard
error",1494
Alaska,CURRENT DOLLARS,1995 ,"Median
income",47954
Alaska,CURRENT DOLLARS,1995 ,"Standard
error",2008
Alaska,CURRENT DOLLARS,1999 ,"Median
income",51396
Alaska,CURRENT DOLLARS,1999 ,"Standard
error",2226
Alaska,CURRENT DOLLARS,2000 ,"Median
income",52847
Alaska,CURRENT DOLLARS,2000 ,"Standard
error",1159
Alaska,CURRENT DOLLARS,2004,"Median
income",55063
Alaska,CURRENT DOLLARS,2004,"Standard
error",2071
Alaska,CURRENT DOLLARS,2009 ,"Median
income",61604
Alaska,CURRENT DOLLARS,2009 ,"Standard
error",1751
Alaska,CURRENT DOLLARS,2010 ,"Median
income",57848
Alaska,CURRENT DOLLARS,2010 ,"Standard
error",2390
Alaska,CURRENT DOLLARS,2013 ,"Median
income",61137
Alaska,CURRENT DOLLARS,2013 ,"Standard
error",3301
Alaska,CURRENT DOLLARS,2013 ,"Median
income",72472
Alaska,CURRENT DOLLARS,2013 ,"Standard
error",5446
Arizona,CURRENT DOLLARS,1986,"Median
income",25500
Arizona,CURRENT DOLLARS,1986,"Standard
error",718
Arizona,CURRENT DOLLARS,1988,"Median
income",26435
Arizona,CURRENT DOLLARS,1988,"Standard
error",843
Arizona,CURRENT DOLLARS,1989,"Median
income",28552
Arizona,CURRENT DOLLARS,1989,"Standard
error",1210
Arizona,CURRENT DOLLARS,1990,"Median
income",29224
Arizona,CURRENT DOLLARS,1990,"Standard
error",1141
Arizona,CURRENT DOLLARS,1991,"Median
income",30737
Arizona,CURRENT DOLLARS,1991,"Standard
error",897
Arizona,CURRENT DOLLARS,1996,"Median
income",31637
Arizona,CURRENT DOLLARS,1996,"Standard
error",1274
Arizona,CURRENT DOLLARS,1997,"Median
income",32740
Arizona,CURRENT DOLLARS,1997,"Standard
error",1297
Arizona,CURRENT DOLLARS,1998,"Median
income",37090
Arizona,CURRENT DOLLARS,1998,"Standard
error",1255
Arizona,CURRENT DOLLARS,2001,"Median
income",42704
Arizona,CURRENT DOLLARS,2001,"Standard
error",1441
Arizona,CURRENT DOLLARS,2002,"Median
income",39734
Arizona,CURRENT DOLLARS,2002,"Standard
error",1003
Arizona,CURRENT DOLLARS,2003,"Median
income",41166
Arizona,CURRENT DOLLARS,2003,"Standard
error",1422
Arizona,CURRENT DOLLARS,2005,"Median
income",45245
Arizona,CURRENT DOLLARS,2005,"Standard
error",1271
Arizona,CURRENT DOLLARS,2006,"Median
income",46657
Arizona,CURRENT DOLLARS,2006,"Standard
error",1246
Arizona,CURRENT DOLLARS,2007,"Median
income",47215
Arizona,CURRENT DOLLARS,2007,"Standard
error",1555
Arizona,CURRENT DOLLARS,2008,"Median
income",46914
Arizona,CURRENT DOLLARS,2008,"Standard
error",1125
Arizona,CURRENT DOLLARS,2011,"Median
income",48621
Arizona,CURRENT DOLLARS,2011,"Standard
error",2424
Arizona,CURRENT DOLLARS,2012,"Median
income",47044
Arizona,CURRENT DOLLARS,2012,"Standard
error",2922
Arizona,CURRENT DOLLARS,2014,"Median
income",49254
Arizona,CURRENT DOLLARS,2014,"Standard
error",2304
Arizona,CURRENT DOLLARS,2015,"Median
income",52248
Arizona,CURRENT DOLLARS,2015,"Standard
error",2008
Arizona,CURRENT DOLLARS,2016,"Median
income",57100
Arizona,CURRENT DOLLARS,2016,"Standard
error",1971
Arizona,CURRENT DOLLARS,2017,"Median
income",61125
Arizona,CURRENT DOLLARS,2017,"Standard
error",2642
Arizona,CURRENT DOLLARS,1984 ,"Median
income",21425
Arizona,CURRENT DOLLARS,1984 ,"Standard
error",609
Arizona,CURRENT DOLLARS,1985 ,"Median
income",23877
Arizona,CURRENT DOLLARS,1985 ,"Standard
error",744
Arizona,CURRENT DOLLARS,1987 ,"Median
income",26749
Arizona,CURRENT DOLLARS,1987 ,"Standard
error",892
Arizona,CURRENT DOLLARS,1992 ,"Median
income",29358
Arizona,CURRENT DOLLARS,1992 ,"Standard
error",1088
Arizona,CURRENT DOLLARS,1993 ,"Median
income",30510
Arizona,CURRENT DOLLARS,1993 ,"Standard
error",1120
Arizona,CURRENT DOLLARS,1994 ,"Median
income",31293
Arizona,CURRENT DOLLARS,1994 ,"Standard
error",773
Arizona,CURRENT DOLLARS,1995 ,"Median
income",30863
Arizona,CURRENT DOLLARS,1995 ,"Standard
error",1360
Arizona,CURRENT DOLLARS,1999 ,"Median
income",36995
Arizona,CURRENT DOLLARS,1999 ,"Standard
error",1133
Arizona,CURRENT DOLLARS,2000 ,"Median
income",39783
Arizona,CURRENT DOLLARS,2000 ,"Standard
error",1210
Arizona,CURRENT DOLLARS,2004,"Median
income",43846
Arizona,CURRENT DOLLARS,2004,"Standard
error",1143
Arizona,CURRENT DOLLARS,2009 ,"Median
income",45739
Arizona,CURRENT DOLLARS,2009 ,"Standard
error",1241
Arizona,CURRENT DOLLARS,2010 ,"Median
income",46896
Arizona,CURRENT DOLLARS,2010 ,"Standard
error",2227
Arizona,CURRENT DOLLARS,2013 ,"Median
income",50602
Arizona,CURRENT DOLLARS,2013 ,"Standard
error",4831
Arizona,CURRENT DOLLARS,2013 ,"Median
income",52611
Arizona,CURRENT DOLLARS,2013 ,"Standard
error",4365
Arkansas,CURRENT DOLLARS,1986,"Median
income",18730
Arkansas,CURRENT DOLLARS,1986,"Standard
error",765
Arkansas,CURRENT DOLLARS,1988,"Median
income",20172
Arkansas,CURRENT DOLLARS,1988,"Standard
error",706
Arkansas,CURRENT DOLLARS,1989,"Median
income",21433
Arkansas,CURRENT DOLLARS,1989,"Standard
error",915
Arkansas,CURRENT DOLLARS,1990,"Median
income",22786
Arkansas,CURRENT DOLLARS,1990,"Standard
error",981
Arkansas,CURRENT DOLLARS,1991,"Median
income",23435
Arkansas,CURRENT DOLLARS,1991,"Standard
error",783
Arkansas,CURRENT DOLLARS,1996,"Median
income",27123
Arkansas,CURRENT DOLLARS,1996,"Standard
error",978
Arkansas,CURRENT DOLLARS,1997,"Median
income",26162
Arkansas,CURRENT DOLLARS,1997,"Standard
error",1154
Arkansas,CURRENT DOLLARS,1998,"Median
income",27665
Arkansas,CURRENT DOLLARS,1998,"Standard
error",1160
Arkansas,CURRENT DOLLARS,2001,"Median
income",33339
Arkansas,CURRENT DOLLARS,2001,"Standard
error",1144
Arkansas,CURRENT DOLLARS,2002,"Median
income",32387
Arkansas,CURRENT DOLLARS,2002,"Standard
error",778
Arkansas,CURRENT DOLLARS,2003,"Median
income",32002
Arkansas,CURRENT DOLLARS,2003,"Standard
error",776
Arkansas,CURRENT DOLLARS,2005,"Median
income",36658
Arkansas,CURRENT DOLLARS,2005,"Standard
error",1309
Arkansas,CURRENT DOLLARS,2006,"Median
income",37057
Arkansas,CURRENT DOLLARS,2006,"Standard
error",767
Arkansas,CURRENT DOLLARS,2007,"Median
income",40795
Arkansas,CURRENT DOLLARS,2007,"Standard
error",1348
Arkansas,CURRENT DOLLARS,2008,"Median
income",39586
Arkansas,CURRENT DOLLARS,2008,"Standard
error",1194
Arkansas,CURRENT DOLLARS,2011,"Median
income",41302
Arkansas,CURRENT DOLLARS,2011,"Standard
error",1849
Arkansas,CURRENT DOLLARS,2012,"Median
income",39018
Arkansas,CURRENT DOLLARS,2012,"Standard
error",2812
Arkansas,CURRENT DOLLARS,2014,"Median
income",44922
Arkansas,CURRENT DOLLARS,2014,"Standard
error",2546
Arkansas,CURRENT DOLLARS,2015,"Median
income",42798
Arkansas,CURRENT DOLLARS,2015,"Standard
error",1572
Arkansas,CURRENT DOLLARS,2016,"Median
income",45907
Arkansas,CURRENT DOLLARS,2016,"Standard
error",2165
Arkansas,CURRENT DOLLARS,2017,"Median
income",48829
Arkansas,CURRENT DOLLARS,2017,"Standard
error",2642
Arkansas,CURRENT DOLLARS,1984 ,"Median
income",15674
Arkansas,CURRENT DOLLARS,1984 ,"Standard
error",748
Arkansas,CURRENT DOLLARS,1985 ,"Median
income",17451
Arkansas,CURRENT DOLLARS,1985 ,"Standard
error",764
Arkansas,CURRENT DOLLARS,1987 ,"Median
income",18827
Arkansas,CURRENT DOLLARS,1987 ,"Standard
error",1008
Arkansas,CURRENT DOLLARS,1992 ,"Median
income",23882
Arkansas,CURRENT DOLLARS,1992 ,"Standard
error",1398
Arkansas,CURRENT DOLLARS,1993 ,"Median
income",23039
Arkansas,CURRENT DOLLARS,1993 ,"Standard
error",847
Arkansas,CURRENT DOLLARS,1994 ,"Median
income",25565
Arkansas,CURRENT DOLLARS,1994 ,"Standard
error",944
Arkansas,CURRENT DOLLARS,1995 ,"Median
income",25814
Arkansas,CURRENT DOLLARS,1995 ,"Standard
error",999
Arkansas,CURRENT DOLLARS,1999 ,"Median
income",29682
Arkansas,CURRENT DOLLARS,1999 ,"Standard
error",1026
Arkansas,CURRENT DOLLARS,2000 ,"Median
income",29697
Arkansas,CURRENT DOLLARS,2000 ,"Standard
error",772
Arkansas,CURRENT DOLLARS,2004,"Median
income",34984
Arkansas,CURRENT DOLLARS,2004,"Standard
error",994
Arkansas,CURRENT DOLLARS,2009 ,"Median
income",36538
Arkansas,CURRENT DOLLARS,2009 ,"Standard
error",909
Arkansas,CURRENT DOLLARS,2010 ,"Median
income",38587
Arkansas,CURRENT DOLLARS,2010 ,"Standard
error",2464
Arkansas,CURRENT DOLLARS,2013 ,"Median
income",39919
Arkansas,CURRENT DOLLARS,2013 ,"Standard
error",2389
Arkansas,CURRENT DOLLARS,2013 ,"Median
income",39376
Arkansas,CURRENT DOLLARS,2013 ,"Standard
error",2402
California,CURRENT DOLLARS,1986,"Median
income",29010
California,CURRENT DOLLARS,1986,"Standard
error",570
California,CURRENT DOLLARS,1988,"Median
income",30287
California,CURRENT DOLLARS,1988,"Standard
error",634
California,CURRENT DOLLARS,1989,"Median
income",33009
California,CURRENT DOLLARS,1989,"Standard
error",618
California,CURRENT DOLLARS,1990,"Median
income",33290
California,CURRENT DOLLARS,1990,"Standard
error",565
California,CURRENT DOLLARS,1991,"Median
income",33664
California,CURRENT DOLLARS,1991,"Standard
error",685
California,CURRENT DOLLARS,1996,"Median
income",38812
California,CURRENT DOLLARS,1996,"Standard
error",818
California,CURRENT DOLLARS,1997,"Median
income",39694
California,CURRENT DOLLARS,1997,"Standard
error",864
California,CURRENT DOLLARS,1998,"Median
income",40934
California,CURRENT DOLLARS,1998,"Standard
error",577
California,CURRENT DOLLARS,2001,"Median
income",47262
California,CURRENT DOLLARS,2001,"Standard
error",727
California,CURRENT DOLLARS,2002,"Median
income",47437
California,CURRENT DOLLARS,2002,"Standard
error",766
California,CURRENT DOLLARS,2003,"Median
income",49300
California,CURRENT DOLLARS,2003,"Standard
error",819
California,CURRENT DOLLARS,2005,"Median
income",51755
California,CURRENT DOLLARS,2005,"Standard
error",460
California,CURRENT DOLLARS,2006,"Median
income",55319
California,CURRENT DOLLARS,2006,"Standard
error",695
California,CURRENT DOLLARS,2007,"Median
income",55734
California,CURRENT DOLLARS,2007,"Standard
error",618
California,CURRENT DOLLARS,2008,"Median
income",57014
California,CURRENT DOLLARS,2008,"Standard
error",829
California,CURRENT DOLLARS,2011,"Median
income",53367
California,CURRENT DOLLARS,2011,"Standard
error",1378
California,CURRENT DOLLARS,2012,"Median
income",57020
California,CURRENT DOLLARS,2012,"Standard
error",1238
California,CURRENT DOLLARS,2014,"Median
income",60487
California,CURRENT DOLLARS,2014,"Standard
error",894
California,CURRENT DOLLARS,2015,"Median
income",63636
California,CURRENT DOLLARS,2015,"Standard
error",1711
California,CURRENT DOLLARS,2016,"Median
income",66637
California,CURRENT DOLLARS,2016,"Standard
error",1075
California,CURRENT DOLLARS,2017,"Median
income",69759
California,CURRENT DOLLARS,2017,"Standard
error",1452
California,CURRENT DOLLARS,1984 ,"Median
income",25287
California,CURRENT DOLLARS,1984 ,"Standard
error",364
California,CURRENT DOLLARS,1985 ,"Median
income",26981
California,CURRENT DOLLARS,1985 ,"Standard
error",350
California,CURRENT DOLLARS,1987 ,"Median
income",30146
California,CURRENT DOLLARS,1987 ,"Standard
error",538
California,CURRENT DOLLARS,1992 ,"Median
income",34903
California,CURRENT DOLLARS,1992 ,"Standard
error",629
California,CURRENT DOLLARS,1993 ,"Median
income",34073
California,CURRENT DOLLARS,1993 ,"Standard
error",651
California,CURRENT DOLLARS,1994 ,"Median
income",35331
California,CURRENT DOLLARS,1994 ,"Standard
error",619
California,CURRENT DOLLARS,1995 ,"Median
income",37009
California,CURRENT DOLLARS,1995 ,"Standard
error",723
California,CURRENT DOLLARS,1999 ,"Median
income",43629
California,CURRENT DOLLARS,1999 ,"Standard
error",703
California,CURRENT DOLLARS,2000 ,"Median
income",46816
California,CURRENT DOLLARS,2000 ,"Standard
error",686
California,CURRENT DOLLARS,2004,"Median
income",49222
California,CURRENT DOLLARS,2004,"Standard
error",660
California,CURRENT DOLLARS,2009 ,"Median
income",56134
California,CURRENT DOLLARS,2009 ,"Standard
error",619
California,CURRENT DOLLARS,2010 ,"Median
income",54283
California,CURRENT DOLLARS,2010 ,"Standard
error",1182
California,CURRENT DOLLARS,2013 ,"Median
income",57528
California,CURRENT DOLLARS,2013 ,"Standard
error",1223
California,CURRENT DOLLARS,2013 ,"Median
income",60794
California,CURRENT DOLLARS,2013 ,"Standard
error",1811
Colorado,CURRENT DOLLARS,1986,"Median
income",27192
Colorado,CURRENT DOLLARS,1986,"Standard
error",926
Colorado,CURRENT DOLLARS,1988,"Median
income",26214
Colorado,CURRENT DOLLARS,1988,"Standard
error",1285
Colorado,CURRENT DOLLARS,1989,"Median
income",26806
Colorado,CURRENT DOLLARS,1989,"Standard
error",1398
Colorado,CURRENT DOLLARS,1990,"Median
income",30733
Colorado,CURRENT DOLLARS,1990,"Standard
error",906
Colorado,CURRENT DOLLARS,1991,"Median
income",31499
Colorado,CURRENT DOLLARS,1991,"Standard
error",1245
Colorado,CURRENT DOLLARS,1996,"Median
income",40950
Colorado,CURRENT DOLLARS,1996,"Standard
error",1329
Colorado,CURRENT DOLLARS,1997,"Median
income",43233
Colorado,CURRENT DOLLARS,1997,"Standard
error",1944
Colorado,CURRENT DOLLARS,1998,"Median
income",46599
Colorado,CURRENT DOLLARS,1998,"Standard
error",1086
Colorado,CURRENT DOLLARS,2001,"Median
income",49397
Colorado,CURRENT DOLLARS,2001,"Standard
error",1190
Colorado,CURRENT DOLLARS,2002,"Median
income",48294
Colorado,CURRENT DOLLARS,2002,"Standard
error",1464
Colorado,CURRENT DOLLARS,2003,"Median
income",49940
Colorado,CURRENT DOLLARS,2003,"Standard
error",1158
Colorado,CURRENT DOLLARS,2005,"Median
income",50449
Colorado,CURRENT DOLLARS,2005,"Standard
error",1287
Colorado,CURRENT DOLLARS,2006,"Median
income",55697
Colorado,CURRENT DOLLARS,2006,"Standard
error",1524
Colorado,CURRENT DOLLARS,2007,"Median
income",61141
Colorado,CURRENT DOLLARS,2007,"Standard
error",1014
Colorado,CURRENT DOLLARS,2008,"Median
income",60943
Colorado,CURRENT DOLLARS,2008,"Standard
error",1898
Colorado,CURRENT DOLLARS,2011,"Median
income",58629
Colorado,CURRENT DOLLARS,2011,"Standard
error",2553
Colorado,CURRENT DOLLARS,2012,"Median
income",57255
Colorado,CURRENT DOLLARS,2012,"Standard
error",2708
Colorado,CURRENT DOLLARS,2014,"Median
income",60940
Colorado,CURRENT DOLLARS,2014,"Standard
error",2414
Colorado,CURRENT DOLLARS,2015,"Median
income",66596
Colorado,CURRENT DOLLARS,2015,"Standard
error",3682
Colorado,CURRENT DOLLARS,2016,"Median
income",70566
Colorado,CURRENT DOLLARS,2016,"Standard
error",4125
Colorado,CURRENT DOLLARS,2017,"Median
income",74172
Colorado,CURRENT DOLLARS,2017,"Standard
error",2982
Colorado,CURRENT DOLLARS,1984 ,"Median
income",25801
Colorado,CURRENT DOLLARS,1984 ,"Standard
error",805
Colorado,CURRENT DOLLARS,1985 ,"Median
income",28182
Colorado,CURRENT DOLLARS,1985 ,"Standard
error",850
Colorado,CURRENT DOLLARS,1987 ,"Median
income",26476
Colorado,CURRENT DOLLARS,1987 ,"Standard
error",1075
Colorado,CURRENT DOLLARS,1992 ,"Median
income",32484
Colorado,CURRENT DOLLARS,1992 ,"Standard
error",1471
Colorado,CURRENT DOLLARS,1993 ,"Median
income",34488
Colorado,CURRENT DOLLARS,1993 ,"Standard
error",1569
Colorado,CURRENT DOLLARS,1994 ,"Median
income",37833
Colorado,CURRENT DOLLARS,1994 ,"Standard
error",1446
